Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Barichara;14739;;;;;;;;;;;;;;;;;;234;;;
Barichara;14743;;;;;;;;;;;;;;;;;;;;;132
Barichara;14746;;;;;;;;;;;;;34;;;;;;;;
Barichara;14754;;;;;;;;;;;;;;;;;;234;;;
Barichara;14759;;;;;;;;;;;;;;;;;;234;;;
Barichara;14776;;;96;;;;;;;;;;;;;;;;;;
Barichara;14780;;;;;;;;;;;;;;;;;;;;;135
Barichara;14783;;;;;;;;;;;;;;;;;;;62;;
Barichara;14817;;;;;;;;;;;;;;;;;;234;;;
Barichara;14822;;;;;;;;;;;;;;;;;;;;;137
Barichara;14828;;;;;;;;;;;;;;;;;;;;;135
Barichara;14832;;;;;;;;;;;;;;;;;;234;;;
Barichara;14835;;;;;;;;;;;;;35;;;;;;;;
Barichara;14852;;;;;;;;;;;;;37;;;;;;;;
Barichara;14857;;;;;;;;;;;;;;;;;;234;;;
Barichara;14864;;;;;;;;;;;;;31;;;;;;;;
Barichara;14875;;;;;;;;;;;;;;;;;;;;;139
Barichara;14879;;;;;;;;;;;;;;;;;;;;;135
Barichara;14886;;;;;;;;;;;;;;;;;;234;;;
Barichara;14894;;;;;;;;;1;;;;;;;;;;;;
Barichara;14895;;;;;;;;;;;;;;;;;;234;;;
Barichara;14898;;;;;;;;;;;;;;;;;;234;;;
Barichara;14902;;;;;;;;;;;;;;;;;;234;;;
Barichara;14906;;;;;;;;;;;;;;;;;;234;;;
Barichara;14912;;;;;;;;;;;;;34;;;;;;;;
Barichara;14925;;;;;;;;;;;;;;;;;;234;;;
Barichara;14931;;;;;;;;;;;;;;;;;;;;;118
Barichara;14938;;;;;;;;;1;;;;;;;;;;;;
Barichara;14947;;;;;;;;;;;;;32;;;;;;;;
Barichara;14949;;;;;;;;;;;;;;;;;;234;;;
Barichara;14957;;;;;;;;;;;;;;;;;;234;;;
