Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Barichara;14111;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14113;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14114;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14123;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;14124;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14131;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14133;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14144;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14152;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14172;;;;;;;;;;;;;0,35;;;;;;;;
Barichara;14176;;;;;;;;;;;;;;;;;;;;;1,13
Barichara;14195;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14197;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14199;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14205;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14218;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;14219;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14223;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14228;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14241;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14243;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14263;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14267;;;;;;;;;;;;;;;;;;;;;1,37
Barichara;14268;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;14269;;;;;;;;;;;;;;;;;;;;;1,42
Barichara;14273;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;14274;;;;;;;;;;;;;;;;;;;;;1,22
Barichara;14275;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;14278;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14287;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14292;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14301;;;;;;;;;0,03;;;;;;;;;;;;
Barichara;14302;;;;;;;;;0,03;;;;;;;;;;;;
Barichara;14307;;;;;;;;;;;;;;;;;;;;;1,26
Barichara;14338;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14339;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14343;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14353;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14358;;;;;;;;;;;;;0,32;;;;;;;;
Barichara;14360;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14374;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14380;;;;;;;;;;;;;;;;;;;;;1,29
Barichara;14381;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;14386;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14397;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14400;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;14401;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;14416;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14423;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14438;;;;;;;;;;;;;;;;;;;;;1,31
Barichara;14474;;;;;;;;;;;;;;;;;;;;;1,21
Barichara;14478;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14479;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14480;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14481;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14482;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14490;;;;;;;;;;;;;0,36;;;;;;;;
Barichara;14510;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14513;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14517;;;;;;;;;;;;;;;;;;;;;1,31
Barichara;14518;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14523;;;;;;;;;;;;;;;;;;;;;1,37
Barichara;14524;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14533;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14553;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;14561;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;14562;;;;;;;;;;;;;;;;;;;;;1,23
Barichara;14608;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14624;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14625;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14632;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14633;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14636;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;14637;;;;;;;;;;;;;;;;;;;;;1,37
Barichara;14639;;;;;;;;;;;;;;;;;;;;;1,32
Barichara;14641;;;;;;;;;;;;;;;;;;;;;1,37
Barichara;14644;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14647;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14649;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14655;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14659;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14664;;;;;;;;;;;;;;;;;;;;;1,2
Barichara;14671;;;;;;;;;;;;;;;;;;;;;1,3
Barichara;14683;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14689;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14695;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14697;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;14699;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14702;;;;;;;;;;;;;;;;;;;;;1,38
Barichara;14704;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14710;;;;;;;;;;;;;;;;;;;;;1,25
Barichara;14719;;;;;;;;;;;;;;;;;;;;;1,3
Barichara;14720;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;14726;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;14727;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14735;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14739;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14743;;;;;;;;;;;;;;;;;;;;;1,32
Barichara;14746;;;;;;;;;;;;;0,34;;;;;;;;
Barichara;14754;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14759;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14776;;;0,96;;;;;;;;;;;;;;;;;;
Barichara;14780;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;14783;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;14817;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14822;;;;;;;;;;;;;;;;;;;;;1,37
Barichara;14828;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;14832;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14835;;;;;;;;;;;;;0,35;;;;;;;;
Barichara;14852;;;;;;;;;;;;;0,37;;;;;;;;
Barichara;14857;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14864;;;;;;;;;;;;;0,31;;;;;;;;
Barichara;14875;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;14879;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;14886;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14894;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14895;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14898;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14902;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14906;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14912;;;;;;;;;;;;;0,34;;;;;;;;
Barichara;14925;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14931;;;;;;;;;;;;;;;;;;;;;1,18
Barichara;14938;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;14947;;;;;;;;;;;;;0,32;;;;;;;;
Barichara;14949;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14957;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14964;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14967;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;14969;;;;;;;;;;;;;;;;;;;;;1,33
Barichara;14974;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;14981;;;0,83;;;;;;;;;;;;;;;;;;
Barichara;14984;;;;;;;;;;;;;0,32;;;;;;;;
Barichara;15013;;;;;;;;;;;;;;;;;;;;;1,31
Barichara;15014;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;15017;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15025;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15028;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;15034;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15035;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;15037;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15038;;;;;;;;;;;;;;;;;;;;;1,26
Barichara;15040;;;;;;;;;;;;;0,34;;;;;;;;
Barichara;15047;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15061;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15075;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;15080;;;;;;;;;;;;;0,35;;;;;;;;
Barichara;15081;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15085;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;15086;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15091;;;;;;;;;;;;;;;;;;;;;1,19
Barichara;15095;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15120;;;;;;;;;;;;;;;;;;;;;1,39
Barichara;15123;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15127;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15129;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15143;;;;;;;;;;;;;0,38;;;;;;;;
Barichara;15149;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15152;;;;;;;;;;;;;0,36;;;;;;;;
Barichara;15160;;;;;;;;;;;;;;;;;;;;;1,33
Barichara;15174;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15188;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15201;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;15202;;;;;;;;;;;;;;;;;;;;;1,29
Barichara;15203;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15211;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15217;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15222;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15223;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;15225;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15226;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15228;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15233;;;;;;;;;;;;;;;;;;;;;1,38
Barichara;15253;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15254;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15257;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15263;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15280;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15296;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15312;;;;;;;;;;;;;0,35;;;;;;;;
Barichara;15336;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15344;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15349;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;15353;;;;;;;;;;;;;0,37;;;;;;;;
Barichara;15359;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15362;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15363;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15365;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15386;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15388;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15389;;;;;;;;;;;;;;;3,01;;;;;;
Barichara;15419;;;;;;;;;2,14;;;;;;;;;;;;
Barichara;15423;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;15425;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15441;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15448;;;;;;;;;;;;;;;;;;;;;1,41
Barichara;15449;;;;;;;;;;;;;;;;;;;;;1,22
Barichara;15457;;;;;;;;;;;;;;;;;;;;;1,31
Barichara;15465;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15467;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15473;;;;;;;;;;;;;;;;;;;;;1,4
Barichara;15475;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;15479;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15483;;;;;;;1,55;;;;;;;;;;;;;;
Barichara;15485;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;15486;;;;;;;;;;;;;;;;;;;0,62;;
Barichara;15488;;;;;;;;;0,01;;;;;;;;;;;;
